2025-01-13 20:37:57,549 - INFO - [Increment Mode] START CRAWLING DATA FROM DANGDANG!
2025-01-13 20:38:02,968 - INFO - [Increment Mode] 第2页第6条数据已存在,跳过!
2025-01-13 20:38:02,968 - INFO - [Increment Mode] 第2页第7条数据已存在,跳过!
2025-01-13 20:38:02,968 - INFO - [Increment Mode] 第2页第8条数据已存在,跳过!
2025-01-13 20:38:02,969 - INFO - [Increment Mode] 第2页第9条数据已存在,跳过!
2025-01-13 20:38:02,969 - INFO - [Increment Mode] 第2页第10条数据已存在,跳过!
2025-01-13 20:38:02,969 - INFO - [Increment Mode] 第2页第11条数据已存在,跳过!
2025-01-13 20:38:02,969 - INFO - [Increment Mode] 第2页第12条数据已存在,跳过!
2025-01-13 20:38:02,970 - INFO - [Increment Mode] 第2页第13条数据已存在,跳过!
2025-01-13 20:38:02,970 - INFO - [Increment Mode] 第2页第14条数据已存在,跳过!
2025-01-13 20:38:02,970 - INFO - [Increment Mode] 第2页第15条数据已存在,跳过!
2025-01-13 20:38:02,970 - INFO - [Increment Mode] 第2页第16条数据已存在,跳过!
2025-01-13 20:38:02,970 - INFO - [Increment Mode] 第2页第17条数据已存在,跳过!
2025-01-13 20:38:02,971 - INFO - [Increment Mode] 第2页第18条数据已存在,跳过!
2025-01-13 20:38:02,971 - INFO - [Increment Mode] 第2页第19条数据已存在,跳过!
2025-01-13 20:38:02,972 - INFO - [Increment Mode] 第2页第20条数据已存在,跳过!
2025-01-13 20:38:02,972 - INFO - [Increment Mode] 第2页第21条数据已存在,跳过!
2025-01-13 20:38:02,972 - INFO - [Increment Mode] 第2页第22条数据已存在,跳过!
2025-01-13 20:38:02,972 - INFO - [Increment Mode] 第2页第23条数据已存在,跳过!
2025-01-13 20:38:02,973 - INFO - [Increment Mode] 第2页第24条数据已存在,跳过!
2025-01-13 20:38:02,973 - INFO - [Increment Mode] 第2页第25条数据已存在,跳过!
2025-01-13 20:38:02,973 - INFO - [Increment Mode] 第2页第26条数据已存在,跳过!
2025-01-13 20:38:02,973 - INFO - [Increment Mode] 第2页第27条数据已存在,跳过!
2025-01-13 20:38:02,974 - INFO - [Increment Mode] 第2页第28条数据已存在,跳过!
2025-01-13 20:38:02,974 - INFO - [Increment Mode] 第2页第29条数据已存在,跳过!
2025-01-13 20:38:02,974 - INFO - [Increment Mode] 第2页第30条数据已存在,跳过!
2025-01-13 20:38:02,974 - INFO - [Increment Mode] 第2页第31条数据已存在,跳过!
2025-01-13 20:38:02,974 - INFO - [Increment Mode] 第2页第32条数据已存在,跳过!
2025-01-13 20:38:02,974 - INFO - [Increment Mode] 第2页第33条数据已存在,跳过!
2025-01-13 20:38:02,974 - INFO - [Increment Mode] 第2页第34条数据已存在,跳过!
2025-01-13 20:38:02,976 - INFO - [Increment Mode] 第2页第35条数据已存在,跳过!
2025-01-13 20:38:02,976 - INFO - [Increment Mode] 第2页第36条数据已存在,跳过!
2025-01-13 20:38:02,976 - INFO - [Increment Mode] 第2页第37条数据已存在,跳过!
2025-01-13 20:38:02,977 - INFO - [Increment Mode] 第2页第38条数据已存在,跳过!
2025-01-13 20:38:02,977 - INFO - [Increment Mode] 第2页第39条数据已存在,跳过!
2025-01-13 20:38:02,977 - INFO - [Increment Mode] 第2页第40条数据已存在,跳过!
2025-01-13 20:38:02,977 - INFO - [Increment Mode] 第2页第41条数据已存在,跳过!
2025-01-13 20:38:02,977 - INFO - [Increment Mode] 第2页第42条数据已存在,跳过!
2025-01-13 20:38:02,978 - INFO - [Increment Mode] 第2页第43条数据已存在,跳过!
2025-01-13 20:38:02,978 - INFO - [Increment Mode] 第2页第44条数据已存在,跳过!
2025-01-13 20:38:02,978 - INFO - [Increment Mode] 第2页第45条数据已存在,跳过!
2025-01-13 20:38:02,978 - INFO - [Increment Mode] 第2页第46条数据已存在,跳过!
2025-01-13 20:38:02,978 - INFO - [Increment Mode] 第2页第47条数据已存在,跳过!
